tweet,username,likes_count,date
"Possible hot take but I love that Nate didn't become the ""savior"" of Alex's story. It's okay to accept help, but I appreciate that she is fighting for her independence and not giving it up when Nate offers, even though it would have been so easy #MAIDNetflix #maid",jess_ca98,0,2021-10-13
Bathroom scene #Maid  https://t.co/vju2WdyBZj,yyznaho,0,2021-10-13
@JayKarWolfe just watched #series episode S01 | E10 of Maid! #maid   https://t.co/khu7TMepIK #tvtime  https://t.co/cjOlC1pKj9,jaykarwolfe,0,2021-10-13
"I just know this girl not in this lady house drinking her wine, wearing her clothes and inviting company when she suppose to be cleaning it🥴 #MAID",chipotlemyfavv,0,2021-10-13
I've just watched episode S01 | E04 of Maid! #maid   https://t.co/4GYiDsYpjQ #tvtime  https://t.co/8Zg4Lli2g7,londonxmermaid,0,2021-10-13
I’m loving the show #MAID,_mariaprado14,0,2021-10-13
"Currently watching both #Maid and #SquidGame about half way through, and whilst they’re wildly different both bloody good.  https://t.co/hysJhdlzDB",flashg83,0,2021-10-13
‘Get up! I can’t slap you bitch cos we in a DV shelter’ actually pissing😂 Loving the friendship between Alex and Danielle #maid #netflix  https://t.co/rWkQyYbq91,chantellepug,0,2021-10-13
Sean and his family 🤢🤢 #maid,damnkeke,0,2021-10-13
Alex’s mom is a damn nut case #Maid,alexisshaasia,0,2021-10-13
I've just watched episode S01 | E01 of Maid! #maid   https://t.co/8Q2Cxsqkuq #tvtime  https://t.co/285JzEM87L,charliecfm,0,2021-10-13
"#maid  ""new shampoo?""  https://t.co/CYICfkTh4r",hantye3,1,2021-10-13
"Realising I could listen to audiobooks at work, I decided to see how many books I could read in a week.  Monday, read #victimf, complete. Tuesday, read #maid, complete. Wednesday, started #prioryoftheorangetree, hopefully finishing today.  I'll need recs...",bibliellgraphy,0,2021-10-13
I love my car. She's my cobalt bitch. #Maid  https://t.co/SdpvfQ1sT1,nodeastofeden,1,2021-10-13
"Why aren’t more people talking about #MAID on @netflix?  This show is holy shit good.  Every performance. Every moment.  To anyone who’s had to learn the same lesson again, to DV survivors &amp; to every person fighting for a better life.   I’m in awe. A must watch.   #MAIDNetflix",roxystriar,26,2021-10-13
"Oh ok, #Maid has some jokes  https://t.co/CvA9jHQGMP",yyznaho,2,2021-10-13
"Is the Domestic Violence always comes with poor family? It’s a happy ending in Maid,but not in each reality. #Maid  https://t.co/BIsgtNhc4k",marcusl01988183,0,2021-10-13
How you gone hold over her head you pay for everything then be insulted when she trying to make it on her own 🙄 #maid,damnkeke,0,2021-10-13
@JayKarWolfe just watched #series episode S01 | E09 of Maid! #maid   https://t.co/DrYGR3Nr8o #tvtime  https://t.co/Q0TpVZSHdo,jaykarwolfe,0,2021-10-13
"#maid on Netflix has triggered the  hell out of me, but in the most humbling way possible, good watch and well developed 👍🏽👍🏽",iamladoris,0,2021-10-13
Alex's dad disappointed me the most he had a chance to make it right with her but he blew it #Maid,evelyn_eti,0,2021-10-13
okay but snake guy was handsome 🥴 #maid,tharealenvee,0,2021-10-13
Alex is toxic #Maid,__sikho,0,2021-10-13
#Maid on netflix is 🔥,rubendominates,0,2021-10-13
I just started #Maid on Netflix. Has anyone watched that? It's really good so far.,liquidheartbeat,0,2021-10-13
Her mom would run my patience through the roof #maid,damnkeke,0,2021-10-13
"Please tell me she ends up happy, I can’t cope with wanting to cry at every bloody episode #maid",xkatebee,1,2021-10-13
No but Alex is in hell. I feel for her so much wow. #Maid,melika_boateng,0,2021-10-13
"The moment I saw Alex in #Maid, I immediately thought she resembles Andie MacDowell.   I didn’t realize she’s actually her mother in real life too! Both great actresses and stunning mashalla!  https://t.co/M7qfZkwe3y",rihabawadh,0,2021-10-13
Her only dinner is the free chips at the bar. #Maid,rabatbaddy,0,2021-10-13
"Watching #MAID such a powerful series, watch it if you haven’t.",katees___,0,2021-10-13
Day 13: Noelle 🌹 this cute maid in training to be a knight is one of my favourite characters in the game 🥰 #原神 #noelle #genshinimpact #maid #knight #knightsoffavonius #traditionalart #fanart  https://t.co/L7uWDciLyr,lotusstardust,7,2021-10-13
Sean makes me so fucking mad like go to hell😭 #maid,beomgyubieber,0,2021-10-13
IF SHE DONT JUST DATE HIM ALREADY UGH🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️ #maid,beomgyubieber,0,2021-10-13
M is for Maddy! 💜 #MAIDNetflix #MAID,dalva_veronica,0,2021-10-13
"I’m on ep 5, anyone else watching? #Maid",herbsyhc,0,2021-10-13
The real villain of the show  #MAIDNetflix #Maid  https://t.co/be7m9c4SGa,sassymelanin,1,2021-10-13
I couldn’t sleep last night. #maid glimpses came to me. Have anyone seen the series?,mama_andthecity,1,2021-10-13
"A room over my head, full tank of gas and food on the table. #beyondfortunate #maid",funkymonk3380,0,2021-10-13
Sean deserves to get stabbed in the thighs several times!!!!!!!!🤬🤬🤬 #MAIDNetflix #Maid  https://t.co/Hi5OyuT0mc,tumitigress,2,2021-10-13
I've just watched episode S01 | E04 of Maid! #maid   https://t.co/oK84LGOqzg #tvtime  https://t.co/ju6hqs7Kyi,noddingheadgirl,0,2021-10-13
Damn @netflix #Maid was so good but so painful to watch,carly_scott03,0,2021-10-13
This show #MAID has me fucked up 🥺 it’s sad that a lot of women go through domestic violence whether it be physical or emotional.,ugly_habits,0,2021-10-13
"Have you subscribed to our newsletter? Learn about MAiDHouse events, initiatives, updates, and more!  https://t.co/jTaBD6hnOs #subscribe #MAID #resources #MedicalAssistanceInDying #newsletter",maidhouseto,2,2021-10-13
"Now why Alicia and Madonna ass tryna get me to watch #Maid , I’m already a crybaby 😭",sunn_knee,0,2021-10-13
not her on tinder 😭 if she don’t just date her rich friend who clearly into her #maid,beomgyubieber,0,2021-10-13
#MAID is so good with portraying how abusive relationships operate actually  https://t.co/iQ5UJWatpU,themangoplanet,0,2021-10-13
