tweet,username,likes_count,date,sentiment2cat,sentiment3cat
"possible hot take but i love that nate did not become the ""savior"" of alex is story. it is okay to accept help, but i appreciate that she is fighting for her independence and not giving it up when nate offers, even though it would have been so easy maidnetflix maid",jess_ca98,0,2021-10-13,pos,pos
bathroom scene maid,yyznaho,0,2021-10-13,pos,neu
just watched series episode s | e of maid! maid tvtime,jaykarwolfe,0,2021-10-13,pos,neu
"i just know this girl not in this lady house drinking her wine, wearing her clothes and inviting company when she suppose to be cleaning itwoozy maid",chipotlemyfavv,0,2021-10-13,pos,pos
i've just watched episode s | e of maid! maid tvtime,londonxmermaid,0,2021-10-13,pos,neu
i’m loving the show maid,_mariaprado14,0,2021-10-13,pos,pos
"currently watching both maid and squidgame about half way through, and whilst they’re wildly different both bloody good.",flashg83,0,2021-10-13,neg,neu
‘get up! i can not slap you bitch cos we in a dv shelter’ actually pissingjoy loving the friendship between alex and danielle maid netflix,chantellepug,0,2021-10-13,pos,pos
sean and his family nauseated facenauseated face maid,damnkeke,0,2021-10-13,neg,neu
alex is mom is a damn nut case maid,alexisshaasia,0,2021-10-13,pos,neg
i've just watched episode s | e of maid! maid tvtime,charliecfm,0,2021-10-13,pos,neu
"maid ""new shampoo?""",hantye3,1,2021-10-13,pos,neu
"realising i could listen to audiobooks at work, i decided to see how many books i could read in a week. monday, read victimf, complete. tuesday, read maid, complete. wednesday, started prioryoftheorangetree, hopefully finishing today. i'll need recs...",bibliellgraphy,0,2021-10-13,pos,pos
i love my car. she is my cobalt bitch. maid,nodeastofeden,1,2021-10-13,pos,pos
"why are not more people talking about maid on ? this show is holy shit good. every performance. every moment. to anyone who is had to learn the same lesson again, to dv survivors &amp; to every person fighting for a better life. i’m in awe. a must watch. maidnetflix",roxystriar,26,2021-10-13,pos,neg
"oh ok, maid has some jokes",yyznaho,2,2021-10-13,pos,pos
"is the domestic violence always comes with poor family? it is a happy ending in maid,but not in each reality. maid",marcusl01988183,0,2021-10-13,pos,neg
how you gone hold over her head you pay for everything then be insulted when she trying to make it on her own roll eyes maid,damnkeke,0,2021-10-13,pos,neg
just watched series episode s | e of maid! maid tvtime,jaykarwolfe,0,2021-10-13,pos,neu
"maid on netflix has triggered the hell out of me, but in the most humbling way possible, good watch and well developed thumbs up medium skin tonethumbs up medium skin tone",iamladoris,0,2021-10-13,pos,pos
alex is dad disappointed me the most he had a chance to make it right with her but he blew it maid,evelyn_eti,0,2021-10-13,pos,neg
okay but snake guy was handsome woozy maid,tharealenvee,0,2021-10-13,pos,pos
alex is toxic maid,__sikho,0,2021-10-13,pos,neu
maid on netflix is fire,rubendominates,0,2021-10-13,pos,neg
i just started maid on netflix. has anyone watched that? it is really good so far.,liquidheartbeat,0,2021-10-13,pos,pos
her mom would run my patience through the roof maid,damnkeke,0,2021-10-13,pos,neu
"please tell me she ends up happy, i can not cope with wanting to cry at every bloody episode maid",xkatebee,1,2021-10-13,pos,neu
no but alex is in hell. i feel for her so much wow. maid,melika_boateng,0,2021-10-13,pos,neg
"the moment i saw alex in maid, i immediately thought she resembles andie macdowell. i did not realize she is actually her mother in real life too! both great actresses and stunning mashalla!",rihabawadh,0,2021-10-13,pos,pos
her only dinner is the free chips at the bar. maid,rabatbaddy,0,2021-10-13,pos,pos
"watching maid such a powerful series, watch it if you have not.",katees___,0,2021-10-13,pos,pos
day : noelle rose this cute maid in training to be a knight is one of my favourite characters in the game smiling face with three hearts 原神 noelle genshinimpact maid knight knightsoffavonius traditionalart fanart,lotusstardust,7,2021-10-13,pos,pos
sean makes me so fucking mad like go to hellsob maid,beomgyubieber,0,2021-10-13,neg,neg
if she dont just date him already ughwoman facepalmingwoman facepalmingwoman facepalmingwoman facepalmingwoman facepalmingwoman facepalming maid,beomgyubieber,0,2021-10-13,pos,neu
m is for maddy! purple heart maidnetflix maid,dalva_veronica,0,2021-10-13,pos,pos
"i’m on ep , anyone else watching? maid",herbsyhc,0,2021-10-13,pos,neu
the real villain of the show maidnetflix maid,sassymelanin,1,2021-10-13,pos,neg
i could not sleep last night. maid glimpses came to me. have anyone seen the series?,mama_andthecity,1,2021-10-13,pos,neu
"a room over my head, full tank of gas and food on the table. beyondfortunate maid",funkymonk3380,0,2021-10-13,pos,neu
sean deserves to get stabbed in the thighs several times!!!!!!!!symbols over mouthsymbols over mouthsymbols over mouth maidnetflix maid,tumitigress,2,2021-10-13,pos,neg
i've just watched episode s | e of maid! maid tvtime,noddingheadgirl,0,2021-10-13,pos,neu
damn maid was so good but so painful to watch,carly_scott03,0,2021-10-13,pos,neg
this show maid has me fucked up pleading it is sad that a lot of women go through domestic violence whether it be physical or emotional.,ugly_habits,0,2021-10-13,neg,neg
"have you subscribed to our newsletter? learn about maidhouse events, initiatives, updates, and more! subscribe maid resources medicalassistanceindying newsletter",maidhouseto,2,2021-10-13,pos,neu
"now why alicia and madonna ass tryna get me to watch maid , i’m already a crybaby sob",sunn_knee,0,2021-10-13,pos,neg
not her on tinder sob if she do not just date her rich friend who clearly into her maid,beomgyubieber,0,2021-10-13,pos,pos
maid is so good with portraying how abusive relationships operate actually,themangoplanet,0,2021-10-13,pos,neg
"maid on is breaking my heart. it is so difficult to watch, some scenes genuinely make my chest seize up in anxiety",maryambzh,0,2021-10-13,neg,pos
maid is very good,josh_pearce,1,2021-10-13,pos,pos
maid - a critical discussion of when equal opportunity in entertainment fails in white america by dr. cynthia alease smith,rodtfaulkner,0,2021-10-13,neg,pos
i knew margaret qualley would be a huge star when i first saw her in once upon a time in hollywood. and she is one now with maid clapping hands light skin tone,edovaagali,3,2021-10-13,pos,pos
how alex is life has changed in maid pleading &gt;&gt;&gt;,elsasashimi,0,2021-10-13,pos,neu
time to catch up on maid,beomgyubieber,0,2021-10-13,pos,neu
what a track from ⁦⁩ maid the let go by elle king.,jobrain,0,2021-10-13,pos,neu
sean is annoying roll eyesmaid,sophistikay2,0,2021-10-13,neg,neg
glad paula got some rude awakening from her con bf that she blamed all his shortcomings on her daughter maid,sophistikay2,0,2021-10-13,pos,neg
thank you so much to everyone that stopped by my social eating that turned to my maid dress cosplay stream! i can not believe how i hit both the sub goal and  followers in the same stream! i love you all so much heartbeat maid twitch,marteemilie4,3,2021-10-13,pos,pos
if you’re needing something to watch after squidgame i recommend maid. both series’ will stay with me for a while.,codywitch,0,2021-10-13,pos,pos
maid does a good job of reminding us the shitty people are not always shitty &amp; the good people are not always good,hotbkelly,1,2021-10-13,pos,pos
"alex is so patient with her mom, no ways joy maid",sophistikay2,0,2021-10-13,pos,neg
"just watched the stupidest story ever. maid from missoula author stephanieland. i never watched anything this dumb. so hard to watch somebody make all the wrong choices, over &amp; over again. maidreviews",comics_vs_films,0,2021-10-13,neg,neg
to the people always wondering why do not women just leave their abusers (abusive partners)…and just wanna know more about dv (domestic violence) i highly recommend for y’all to watch maid on netflix. maidnetflix,rachtaughtyou,0,2021-10-13,pos,neg
have y’all watched maid on netflix? maidnetflix,rachtaughtyou,1,2021-10-13,pos,neu
maid is stressing me tf out. this storyline.,neemaakili,1,2021-10-13,pos,neg
"of navigating the social services system, subsidized daycare and housing. this series shows all of these things masterfully which makes it a real gem. oh! and andie macdowell!!!! maidonnetflix domesticviolence women domesticabuse maid",aneesamunaf,0,2021-10-13,pos,neu
i started maid last night and fell asleep lol i guess i’ll try again today,ruuuelala,1,2021-10-13,pos,pos
maid is fantastic but man does it really hit you in the gut …,merman2000,0,2021-10-13,pos,pos
"maid, once again alex makes a horrible decision. why tf would you even throw that party at your new residence?",jtherealjerm,1,2021-10-13,neg,neg
have you seen the top chart of netflixindia today? the top  are stunning. squidgame houseofsecrets : theburarideaths theequalizer maid our suggestion: all  of these deserve your attention star struck how many have you watched? did you like what you saw? mention your pick,bingedhelps,10,2021-10-13,pos,pos
i have not seen alex take not one shower. maid,msjah_,3,2021-10-13,pos,neu
maid is real stuff on . loved every episode.,tehreemazeem,13,2021-10-13,pos,pos
andie macdowell is my whole mood in maid roflok hand medium dark skin tone,courageokoli,0,2021-10-13,pos,pos
maid got me,yanzii246,1,2021-10-13,pos,neu
we offer free instant cleaning quote miami cleaningservice maid,miami_cleaning,0,2021-10-13,pos,pos
andiemacdowell when i saw andie macdowell i did remember her young beauty in st. elmo is fire - but am so happy to see her gorgeous beauty just as wonderful  years later heart eyesheart eyesthank you andie macdowell clapping hands light skin toneclapping hands light skin toneclapping hands light skin tonemaid,womanmiami,0,2021-10-13,pos,pos
"i started watching maid on . overall, it seems well done &amp; makes a terrifying case for how hard it is trying to escape domestic violence. but, the dog-napping incident is lame &amp; not good. steal a person is dog &amp; they do not call the police &amp; even pay you $$ they owe you.",amr82261,0,2021-10-13,neg,neg
"have y’all watched maid on ? while it is a heavier series &amp; contains themes related to domestic violence, the creative content is so realistic &amp; raw. it is really one of the best shows out right now. what is everyone is thoughts on it? let is talk about it! tbginsession",therapy4bgirls,25,2021-10-13,pos,pos
i hope alex give indian dude a chance maid,primrhose_abk,1,2021-10-13,pos,pos
paula ass wiggin out. maid,jasdtbg,0,2021-10-13,pos,neg
the best one i’ve watched all year orange heart maid netflix,cemrehazalc,0,2021-10-13,pos,pos
i do not care what the reason is.... you steal my dog i break your face. then she has the nerve to use her house like it is her own on thanksgiving. she should totally be fired lol. what kind of fake world is this? maid maidnetflix,kimibizzle,0,2021-10-13,pos,neg
"if alex does not end up alone single and happy imma be pissed maid i love nate, but now is not the time",romancefantasyz,0,2021-10-13,pos,pos
"""panic attacks can be the body is way of telling you it knows something."" i felt this deeply no mouth maid",zainab_m7md,0,2021-10-13,pos,neg
i hate sean maid,love_vs_hate321,0,2021-10-13,neg,neg
"what are you currently ""binge watching?"" squidgame themorningshow maid netflix hulu",891thepoint,0,2021-10-13,pos,neu
watching the first episode of maid and zaze zamunetha ugirl weary,bubu_mazibuko,0,2021-10-13,pos,neg
maid and gloria :))) protogen maid furryart,zenpisceswolf,92,2021-10-13,pos,neu
when they ask for “home” yea that be the hardest part maid netflix,katishabyrd,0,2021-10-13,pos,neu
alex struggles so much with accepting help sigh maid,litaaallenxo,0,2021-10-13,pos,pos
"save the date for our annual fall conference in november! registration opens on october st at noon eastern. for more details, visit our website with the link below! fallconference completedlife conference maid vsed righttodie deathpositive",completedlife,0,2021-10-13,pos,pos
started watching maid on very depressing. abandoned.,velvetyvirgo,1,2021-10-13,neg,neg
not her baby daddy getting her kicked out of  residencies back to back maid,_mindofmahdi,0,2021-10-13,pos,neu
alex is mom is pissing me the hell off omg. so sad that people actually have to deal with this pensive maid,blessmyjewel,0,2021-10-13,neg,neg
