tweet,username,likes_count,date
idk what’s going on but i don’t think this is god….. #midnightmass,blackpowerpufff,0,2021-10-13
I'm about to watch the first episode of #MidnightMass. Looking forward to this I think. 😬.,carolkav81,0,2021-10-13
"I’m only in ep 1, but why are so many young actors playing older people in #MidnightMass ??",dfendr99,0,2021-10-13
bev is so annoying and i hate her but she would also be the first one i called to help me bury a body she is tough as nails with this father paul shit #MidnightMass,tinareginee,0,2021-10-13
Anybody else watch #MidnightMass on @netflix ???  https://t.co/V8c6Z76SzA,grneyedbillsfan,0,2021-10-13
"People will really do the wildest shit in the name of religion, which is why religion is flawed. #MidnightMass",milliesansoye,0,2021-10-13
"One side effect of watching #midnightmass is I keep asking myself I could resist killing humans if I were turned, and whether that is correlated with my self-control around ice cream as a human.",cjsiegrist1,0,2021-10-13
"The miracle is going to be the big Nosferatu reveal, isn’t it #MidnightMass  https://t.co/CDD2TXi7ob",milliesansoye,1,2021-10-13
Just started watching #MidnightMass and have a question…does the acting get better?,emmaawheatley,0,2021-10-13
I've just watched episode S01 | E05 of Midnight Mass (2021)! #midnightmass  https://t.co/vqapzpBXiP #tvtime,acciohxran,0,2021-10-13
Keep zoning out every time that bloody priest starts talking #MidnightMass,gregor18_jimmy,1,2021-10-13
#MidnightMass I’m struggling to understand wtf is going on but can’t stop watching this,dammigge,1,2021-10-13
So the ferries and the electricity…why are so many people going along with this? #MidnightMass,milliesansoye,0,2021-10-13
#MidnightMass No context spoiler  https://t.co/sQAB2J9atc,domzedits,1,2021-10-13
How are they going to get off the island?! #MidnightMass  https://t.co/Ldkoak9PGx,milliesansoye,1,2021-10-13
@thegrampus Louche cat refuses to let teen watch #MidnightMass...  https://t.co/j2Nq4oDs4U,thegrampuswife,0,2021-10-13
"I have one episode of #MidnightMass left to watch. We’ve been savouring it over several nights. It has been enthralling, unnerving, compelling, shocking, bewildering and altogether excellent. The end of Episode V is jaw-dropping!",harmaxia,0,2021-10-13
"The bible really has verses to justify almost everything, huh? #MidnightMass #Netflix",bletherer1,0,2021-10-13
