tweet,username,likes_count,date,sentiment2cat,sentiment3cat
idk what is going on but i do not think this is god….. midnightmass,blackpowerpufff,0,2021-10-13,pos,neg
i'm about to watch the first episode of midnightmass. looking forward to this i think. grimacing.,carolkav81,0,2021-10-13,pos,neg
"i’m only in ep , but why are so many young actors playing older people in midnightmass ??",dfendr99,0,2021-10-13,pos,pos
bev is so annoying and i hate her but she would also be the first one i called to help me bury a body she is tough as nails with this father paul shit midnightmass,tinareginee,0,2021-10-13,neg,neg
anybody else watch midnightmass on ???,grneyedbillsfan,0,2021-10-13,pos,neu
"people will really do the wildest shit in the name of religion, which is why religion is flawed. midnightmass",milliesansoye,0,2021-10-13,neg,neg
"one side effect of watching midnightmass is i keep asking myself i could resist killing humans if i were turned, and whether that is correlated with my self-control around ice cream as a human.",cjsiegrist1,0,2021-10-13,pos,neg
"the miracle is going to be the big nosferatu reveal, is not it midnightmass",milliesansoye,1,2021-10-13,pos,pos
just started watching midnightmass and have a question…does the acting get better?,emmaawheatley,0,2021-10-13,pos,pos
i've just watched episode s | e of midnight mass ()! midnightmass tvtime,acciohxran,0,2021-10-13,pos,neu
keep zoning out every time that bloody priest starts talking midnightmass,gregor18_jimmy,1,2021-10-13,neg,neg
midnightmass i’m struggling to understand wtf is going on but can not stop watching this,dammigge,1,2021-10-13,neg,neg
so the ferries and the electricity…why are so many people going along with this? midnightmass,milliesansoye,0,2021-10-13,pos,neu
midnightmass no context spoiler,domzedits,1,2021-10-13,pos,neg
how are they going to get off the island?! midnightmass,milliesansoye,1,2021-10-13,pos,neu
louche cat refuses to let teen watch midnightmass...,thegrampuswife,0,2021-10-13,pos,neu
"i have one episode of midnightmass left to watch. we’ve been savouring it over several nights. it has been enthralling, unnerving, compelling, shocking, bewildering and altogether excellent. the end of episode v is jaw-dropping!",harmaxia,0,2021-10-13,pos,pos
"the bible really has verses to justify almost everything, huh? midnightmass netflix",bletherer1,0,2021-10-13,pos,neu
my favorite takeaways from midnightmass that almost make me want to give catholicism a try: - reading the bible as vampire lore (seems much more entertaining this way) - the potential to become a vampire,grrlhorse,0,2021-10-13,pos,pos
riley is mum is so stupid omg midnightmass,milliesansoye,0,2021-10-13,neg,neg
"the end of midnightmass is all of us when the pubs and clubs have shut, and the birds start tweeting. folded hands light skin tonesunnyfire",rorydezziepier1,0,2021-10-13,pos,neu
what a series midnight mass is!!! not like anything else i have watched netflix midnightmass,jayseyeview,0,2021-10-13,pos,neg
this wagon from midnightmass reminds me of the wans who shouted at us on the streets during repeal,jesscaitreid,2,2021-10-13,pos,neu
i've just watched episode s | e of midnight mass! midnightmass tvtime,prettywho_,0,2021-10-13,pos,neu
"a flawed, yet poetic ending to a brilliant show! some of the best writing and acting of the year. seriously, a genius plot and so well executed! midnightmass",mosdepo,0,2021-10-13,pos,pos
"well,  episodes into midnightmass ... interesting!",dgjones15,0,2021-10-13,pos,pos
"to say that this series caught me off guard, would be an understatement midnightmass",congamez0,0,2021-10-13,pos,neu
join us in  minutes for the live reveal of is september potm winners. details in the link below. chicagofire chicagopd lucifer midnightmass ordinaryjoe roswellnm thegooddoctor thelwordgenq,ahicks83,1,2021-10-13,pos,pos
"midnight mass diving into religious extremism, forgiveness, religious bigotry loud and silent, redemption, past traumas that haunt us, and how we can excuse vile things when it suits our agendas. amazing show ok hand medium dark skin toneok hand medium dark skin toneok hand medium dark skin tone midnightmass netflix",edwinw_1997,3,2021-10-13,pos,pos
bev is a fucking religious nut. she typifies everything wrong with organised religion. midnightmass,milliesansoye,0,2021-10-13,neg,neg
some of my thoughts on midnightmass’ portrayal and criticism of catholicism,zdoiron13,1,2021-10-13,pos,neg
sarah and erin better fuck up monsignor and bev midnightmass,milliesansoye,0,2021-10-13,pos,neg
join us in half an hour for the live reveal of is september potm winners. details in the link below. chicagofire chicagopd lucifer midnightmass ordinaryjoe roswellnm thegooddoctor thelwordgenq,ahicks83,4,2021-10-13,neg,pos
literally just finished midnightmass (the credits are rolling as i type) and my god! what. a. show.,aj_creed,0,2021-10-13,pos,pos
"""the show must go on"" fan poster for a potential mike flanagan movie because i am simply obsessed. hauntingofhillhouse midnightmass clayface",joewehnert,2,2021-10-13,neg,pos
"omg midnightmass i only just got over the last hot priest, i cannot do this again.",riffyroo,0,2021-10-13,pos,neu
the way i wanted to scream “it is a bloody vampire sirrr” no angel is gonna get you to do all that for the love of god triumph midnightmass,reacts_p,0,2021-10-13,neg,pos
miss bev here just makes me so frikin angry even before they revealed her involvement i could just sense her darkness triumph like arghhh midnightmass,reacts_p,0,2021-10-13,neg,neg
midnightmass erin greenes monologue about death is one of the most beautiful things i’ve ever read. i’m not a hugely spiritual person but her description of life after death is exactly how i feel about it. performance made it that much better 🥲,svh00318868,0,2021-10-13,pos,neg
did we know that zach gilford was so good? midnightmass,ladyvalmont,0,2021-10-13,pos,pos
"i really, really liked midnightmass. but the sheriff is soliloquy went on… and on… and on… and told us nothing we did not already know or had not intuited about the character. really bad writing in an otherwise excellent (save for a couple of other pointless soliloquies) show.",whusseyauthor,3,2021-10-13,pos,pos
erin shooting beverly and annie flynn throwing shade at her was so satisfying you go girls midnightmass,billfarrell2,0,2021-10-13,pos,pos
i freaking knew it midnightmass,mykela0119,0,2021-10-13,pos,neg
"time to check out squidgame i think. always on the lookout for new horror. i know midnightmass is getting great reviews but i get quite upset at animal deaths so i’ve been hesitant. sensitive subject for me man shrugging light skin tone. anyways, time to watch humans die in this show as entertainment man facepalming light skin tone",joschwabost,0,2021-10-13,pos,neg
"ending of episode  was something, some teas were unintentionally spilt midnightmass",stanengby,0,2021-10-13,pos,pos
"midnightmass was exceptional. thought provoking, sad, joyful. a few episodes did not hit me but episode  and  were fantastic you are a genius",mjillingworth,0,2021-10-13,pos,pos
worst ending to a series ever. midnightmass,rikpayne2,0,2021-10-13,neg,neg
i wish i could be this succinct. great summary of my exact experience watching midnightmass point down,timneufeld,1,2021-10-13,pos,pos
was going to switch away from midnightmass but then all these cats turned up on the beach. it reminded me of when i switched away from lost as soon as i saw those polar bears on the island. big mistake! i also love that guy from izombie. raising hands light skin tone,so20charlotte,1,2021-10-13,pos,pos
area : earth abides. the latest in the epic  million copy selling series. via area scifi westworld doctorwho kindleunlimited foundation midnightmass,giftoffailure,0,2021-10-13,pos,neu
brilliant loved it midnightmass bev *villain of the year*,finsmegs,0,2021-10-13,pos,pos
i've just watched episode s | e of midnight mass ()! midnightmass tvtime,acciohxran,0,2021-10-13,pos,neu
midnightmass was incredible! get watching it if you have not already star struck,leaguelyblonde,1,2021-10-13,pos,pos
_graves hamish linklater has an air of john malkovitch about his intonation in this midnightmass,heymisssmith,0,2021-10-13,pos,neg
mike flanagan might be a genius midnightmass,lo_oud,0,2021-10-13,pos,neu
naur the end of episode iv got me so good midnightmass sobsobsob,electricdaisy4,0,2021-10-13,pos,pos
"should stop ""next episode"" feature. was watching episode  of midnightmass by while the end credits were rolling, the background sound sent shivers down my spine. i would've missed it if i have not selected ""watch credits"" feature!!!",sai_deepak22,0,2021-10-13,pos,neg
"onto episode  of midnight mass tonight, the first three episodes had me transfixed to the tv.heart eyes some of the best acting i have seen in years, it is so good! had me on the ceiling after turning off his sons lamp sobjoy midnightmass",hairyhotdogs,0,2021-10-13,pos,pos
i've just watched episode s | e of midnight mass ()! midnightmass midnightmass tvtime,o_brunomdc,0,2021-10-13,pos,neu
"spoliers* i'm watching midnightmass for the nd time &amp; i'm finding even more layers to it. eg. the addicts of the town treated like trash, while the priest (&amp; later the others) justify their addictions. this soundtrack is giving me life! soolaimon &amp; holly holy!",hugashark,0,2021-10-13,pos,pos
there is still one question i have about midnightmass: ~~~spoilers~~~ when the priest dies the second time is it confirmed that it was bev that was poisoning him? (she killed the dog obvi but was she also trying to kill him before she thought he was jesus?),lynsneill,0,2021-10-13,pos,neg
"midnight mass really makes you think about faith and it is overall pretty confusing. i would say certain people that do not like to think about death and religion, should probably not watch it. not unless you want to have an existential crisis. midnightmass",darthmadv,1,2021-10-13,pos,neg
"i do not think i can emotionally, spiritually, physically, psychologically recover from midnightmass episode ..... ...",mamamamartinn,0,2021-10-13,pos,neu
midnightmass watched the first episode and based on the dead cats that washed up on shore...i'm pretty sure there is a vampire in crackpot is mist.,ducky8abug,0,2021-10-13,pos,pos
have you watched this yet? in-tense! midnightmass netflix limitedseries religion,z93,0,2021-10-13,pos,neu
"that was a first, watching midnightmass on netflix and spotted a vestments error and it was actually a plot point!",vahva,7,2021-10-13,pos,neg
so i just finished midnightmass and i want to express my gratitude to and the talented actors for making an amazing story,mbedlisi,0,2021-10-13,pos,pos
i never realized what a strong case the bible makes for vampires midnightmass,radiomclean,1,2021-10-13,pos,pos
"still wondering who would go to a dark, abandoned house alone and for what? have the people in scary movies/shows never seen scary movies/shows? midnightmass",nanagabynka,0,2021-10-13,neg,neg
midnightmass. just gagged tf outta me with this episode.,blackbassclef,0,2021-10-13,pos,neg
the doctor is mother...is it an actual old lady or a make up cause she is been freaking me out midnightmass,nanagabynka,0,2021-10-13,pos,neg
midnightmass is brilliant!! thank you netflix,rebelaxcy,0,2021-10-13,pos,pos
"if you have not watched midnightmass yet, drop what you're doing and get thyself over to netflix immediately. new twist on an old genre.",troy_dye,0,2021-10-13,pos,neg
that bleed out was tew much lol midnightmass,blackbassclef,0,2021-10-13,pos,pos
"fatherpaul is mesmerizing, especially when he preaches! i'm sure i'm falling in love with a vampire-devil-priest midnightmass",holgersonheath1,0,2021-10-13,pos,pos
i'm sweating??? midnightmass,niks_karma,0,2021-10-13,pos,neu
the amount of animal murder in this show already is unacceptable. midnightmass,ciannachanel,0,2021-10-13,pos,neg
uh oh did they mention scientology on midnightmass ?!??! eyeseyes ding ding ding,blackbassclef,0,2021-10-13,pos,neu
"midnightmass was so intense, that i'll not watch tv for at least - days! excellence, just sheer pure excellence, from performances, script writing, location ,exploration of darkness in each character, to brutally honest dialogues ,kudos!",mk011020,0,2021-10-13,pos,pos
just finished episode  of midnightmass and i- sobsobsobsobsob,nintendomad888,11,2021-10-13,pos,neu
i liked midnight mass. i did fall asleep a few times over the course of the episodes and the dialogue was quite heavy in places but overall i thought it was a decent horror series. midnightmass,iamdavepen,2,2021-10-13,pos,neg
"""our lord sent angels to egypt to slaughter the first born of the egyptians, turn cities to salt, women and children alike, and drowned the world when we were too lost to our sins"" bev keane in midnightmass netflix tvshow",wilnerboss,0,2021-10-13,pos,neg
"is another emotional, horrifying, delightful ride! it inspired me to make this artwork of father paul played incredibly by hamish linklater. thank you for another successful addition to the collection! midnightmass",pantelisandr,0,2021-10-13,pos,pos
looks like that fella from midnightmass,aaanderso_n,0,2021-10-13,pos,pos
i can not decide whether i'm more traumatised by episode  squidgame or episode  midnightmass ... sobsobsob,charlottecluca1,0,2021-10-13,pos,neg
bev is a right cunt. midnightmass,finsmegs,0,2021-10-13,pos,neg
