tweet,username,likes_count,date
Aged pretty well. #comments #youtube #yt #lgbt #blackpeople #jewish #netflix #women #woman #davechappelle #comedy #comedians #comedian  https://t.co/NWqO5EcEyN,creativegene1,0,2021-10-13
Is it just me or is it weird AF when an ADULT says they are “picky eater” ???? Get out of here with your chicken tender no sauce havin ass. 😂  #kidsmeal #growup #redflags #netflix #food #picky #follow #like #snl #dinner #lunch #breakfast #eat #foodie #FoodieBeauty,vibewithlo,0,2021-10-13
Have you seen “Amend: The Fight for America” on Netflix yet? #Netflix #netflixandchills    https://t.co/Vw4Exff3OH,lawrencehnyc,0,2021-10-13
Squid Game is officially Netflix's 'biggest ever' series launch  #PulseWatchIt #PulseEntertainmentVid #SquidGames #Netflix  https://t.co/rStpELmc4v,pulseghana,3,2021-10-13
#CowboyBebop Anime Set To Release On Netflix In October 2021  #BreakingNews #Netflix #NetflixNews #Share #CloutNews  https://t.co/DRwefmP4do,cloutnewsmedia,0,2021-10-13
"More proof these companies couldn't give 2 shits about diversity, minorities, equal rights, or anything else aside from $$$. THEY DONT CARE ABOUT US. THEY ARE VAMPIRES AND $ IS THEIR BLOOD. #netflix  https://t.co/gzIx2WELez",thats_a_hard_no,0,2021-10-13
Squid Game was INSANE! What did you guys think of it? Let us know below!   #BoatTalk #podcast #SquidGame #Netflix  https://t.co/AIs3x1Cti9,boattalkpodcast,1,2021-10-13
Anyone know of a good horror or action movie that is on us #netflix only? Want to try my vpn,swe_motorizer,0,2021-10-13
Colin in Black and White Mini Netflix TV Series is Comming Soon 🔥 Jaden Michael California Cal Logo T-Shirt.  Shop Now:  https://t.co/tLELWe4WxB 🤩🤩🤩 #netflix #netflixseries #jadenmichael #cal #CaliforniaLove #caltshirt #callogo #longsleeve #tshirt #TVseries  https://t.co/zxHQziIAB2,khantdesigns,0,2021-10-13
"One of Hollywood’s most powerful unions set strike date, threatening a nationwide shutdown of film and TV production in a fight with studios over work conditions and pay.  #Hollywood #Strike #Netflix #Disney #Amazon   https://t.co/5hGg6Iy2K1",peninsulaqatar,0,2021-10-13
"REVIEW: Netflix's ""The Baby-Sitters Club"" - Episode 2.08 ""Kristy and the Baby Parade""   https://t.co/P57Y33bY08 #TheBabySittersClub #BabySittersClub #Netflix  https://t.co/rEcJSTyhbl",tvrecapsreviews,1,2021-10-13
"@rzgreenfield I think we should cancel comedy all together. It may offend someone and that is not okay, no matter what the joke is about. Humour isn’t important nowadays and is actually an emotion that affects productivity. Cancel it all together. Ratio  #cancelhumour #Netflix #DaveChappelle",realkaname,0,2021-10-13
#SquidGame final scene #Netflix found too disturbing  We're ready for the sequel bros! #smilecloudsusa  https://t.co/i47GH2qPTN,smilecloudsusa,0,2021-10-13
"Netflix Renews ‘YOU’ for Season 4, Ahead of its Season 3 Premiere  https://t.co/IHyMsDGHcS  #YouNetflix #YOUSEASON3 #YOUS4 #Netflix",moviesr_net,0,2021-10-13
"We are looking for people of Chinese heritage for huge new #netflix project! To apply head to our website and select ""Become an Artist"". Fill in the short form and we'll do the rest!  #chinese #china #heritage #casting #castingcall #recruitment #recruiting #Hiring #tv #television  https://t.co/b1HfdoFq1G",rosiekeycasting,0,2021-10-13
when will #Netflix make a Ultra Vortex show *SCREAMING*,gamesmemes,0,2021-10-13
Can't wait! #Netflix #Palestine,zubaida_2,0,2021-10-13
Squid game was 🔥 #SquidGame #Netflix,joshuawebb15,0,2021-10-13
"Okay, trans employees! Byeeeeeee!  #DaveChappelle #Netflix #DaveChappelleTheCloser  https://t.co/cpNv7udPMp",handleanother,0,2021-10-13
Any form of expression through which speakers intend to [among other things] humiliate a group or a class of persons isn’t “creative” nor is it comical. It’s targeted hate speech. Dave Chappelle should “stand-down” &amp; @netflix’s Ted Sarandos should be fired. #Netflix,sararoderickla,0,2021-10-13
@ninja is my new Netflix recommendation plug. Heard Squid Game first from him. Heard Midnight Mass first from him. ...  #Netflix,h0whardcanitbe,0,2021-10-13
I don’t know who needs to hear this but 3% was better than #SquidGame #Netflix #arguewityamammy,teachloveteachr,0,2021-10-13
The Movies That Made Us #Netflix  https://t.co/ff96YAUvtR,jcmartinezm82,0,2021-10-13
"Yay Malia!!!!! Can't wait to see you on the @kellyclarksonshow today!!! #bsc #babysittersclub #netflix #actress #teenactress #younghollywood #television #casting #kellyclarksonshow  #proudcoach @ Burbank, California  https://t.co/bXUjkAyKtz",yourhwdcoach,0,2021-10-13
#Netflix drops ‘#MoneyHeist’ final season volume 2 teaser #LaCasaDePapael5 @netflix 👇  https://t.co/TF6TV6PWWt,editortimes2020,0,2021-10-13
Jamal is effortlessly funny omg 😂😂💀 #OnTheBlock #Netflix,premilla_n,0,2021-10-13
So people had ZERO problems working at #Netflix while #DaveChappelle's other specials were on the platform right!?  https://t.co/0Y3izpjd1i,realcryptoque,0,2021-10-13
Woren Webbe - Touch on Fire 🔥 (Lyrics) | Squid game 2 | Theme | Netflix  https://t.co/J3BbgI02pP  #SquidGame #SquidGame2 #netflix,worenwebbe,0,2021-10-13
@netflix @NetflixIndia  Recently the amazing web series lauch on greatest platform #Netflix I loved that web series a lot #SqiudGame  I can't wait for next season of #SquidGame  When will the next season will come ???,tarungu43199221,1,2021-10-13
Amazing #inspiration4missiontospace #Netflix  https://t.co/jVuxXKebRO,illatoc,0,2021-10-13
@latimes Why didn't they stage a walkout for #Cuties?  A film which is softcore porn for perverts is good but a few jokes by Dave Chapelle about trans people is worthy of all this?  Seems like #Netflix employees are very selective with their reasons to get sacked for.,charliesansom,0,2021-10-13
"@YouNetflix Heck yeah!! I already watched squid game, on my block, maid &amp; I’ve been looking forward to this. #netflix high key has been on point lol",thatskramer,0,2021-10-13
#Netflix launches #Palestinian Stories collection with award-winning films  https://t.co/84CnRtNgR3,mideastinfo,0,2021-10-13
"Okay, #Vagabond on #Netflix is good Good!",ticky_o,0,2021-10-13
@KITHaber SQUID GAME…  https://t.co/4Dg5s5n8TX  #HİlkerDumanNoktaCom #SquidGame #BiOku #Diziİncelamesi #DiziEleştirisi #Netflix #AmazonPrimeVideo #AppleTVPlus #DisneyPlus #Hulu,hilkerduman,0,2021-10-13
"The hit Netflix original series starring Penn Badgley and Victoria Pedretti is back for season 3 on Friday, Oct. 15, 2021. Fans have waited a long time for You Season 3, and it looks like fans should start prepping for a long wait until You season 4 hits Netflix.  #Netflix #You  https://t.co/jyUf5zAXnT",cinematrailerne,0,2021-10-13
when is You 3 dropping??! #YouNetflix #Netflix #AskTwitter,_emanbedri,0,2021-10-13
"#DavidFincher’s Mystery #Netflix Project Probably Isn’t What You Were Hoping For, But It Still Sounds Cool  https://t.co/FMDSRRhKi0 via @UPROXXMovies  https://t.co/TcdmeUUA10",knewz_currently,0,2021-10-13
#Netflix releases a new #MoneyHeist Final Season trailer   https://t.co/cDagL8xRt7  https://t.co/NjU1h9XGmX,comicbook,14,2021-10-13
"""#Amazon and #Apple don’t have the same history as #Netflix in terms of being a launching pad for new actors on #Instagram.""  #Aktien #Wikifolio #Börse #Investieren",rogogrowth,0,2021-10-13
"""The #Netflix distribution system helps actors develop huge followings on #Instagram (FB) such that everyone wants to be on the screen with Netflix.""  #Aktien #Investieren #Börse #Wikifolio    https://t.co/gVcCAmNYuR",rogogrowth,0,2021-10-13
"reminder, there's an employee walkout on Oct. 20th at netflix, don't stream that day! or, alternatively, cancel your subscriptions!  don't cross the picket line!  Dave Chapelle #chapelle ""The Closer"" Netflix #netflix",julia_osh,0,2021-10-13
You all be sure to check out the new video I just posted         https://t.co/T7ju87zMVG #YouTubeShorts #netflix #youtube #Youtuber #OfficialTrailer #TikTok #TrendingNow are you going to check it out?,zacharymorrisk,0,2021-10-13
@intiharbicimi SQUID GAME…  https://t.co/4Dg5s5n8TX  #HİlkerDumanNoktaCom #SquidGame #BiOku #Diziİncelamesi #DiziEleştirisi #Netflix #AmazonPrimeVideo #AppleTVPlus #DisneyPlus #Hulu,hilkerduman,1,2021-10-13
@pudraa_sekerii SQUID GAME…  https://t.co/4Dg5s5n8TX  #HİlkerDumanNoktaCom #SquidGame #BiOku #Diziİncelamesi #DiziEleştirisi #Netflix #AmazonPrimeVideo #AppleTVPlus #DisneyPlus #Hulu,hilkerduman,0,2021-10-13
Out of all the amazing Korean shows on #Netflix if people are loving #SquidGame then there is something seriously wrong with the world. Such below mediocre stuff. Couldn't bare watching more than 3 episodes.,bazingadoc,0,2021-10-13
Profit and control over everything; #Netflix suspends trans staffers in the deadliest year ever for their community. They have every right to be upset.  https://t.co/8lJAe872MR  https://t.co/slxoRYGH7M,officialbps_art,3,2021-10-13
"A Netflix divulgou Teaser de ""The Sandman""!  #canaldotuninho #tuninhochan #fanho #labioleporino #nerd #geek #nerdsshorts #netflix #serie #comics #quadrinhos #dc #dccomics #thesandman #liveaction  https://t.co/IHqpXJ8CtO",canaldotuninho,0,2021-10-13
(Glamour):You on #Netflix Just Got #Renewed for a 4th Season : The third season hasn't even premiered yet! .. #TrendsSpy  https://t.co/Epipq5Fkjq  https://t.co/BRMJE0YkY8,newsoneplace,0,2021-10-13
#VillainsMonth Villain of The Day it's  #Megatron the leader of the #decepcions from #Transformers #TransformersRiseoftheBeasts #TransformersIDW #TransformersTheMovie #TransformersG1 #Hasbro #IDW #Netflix @Hasbro @transformers @TransformersWar @IDWPublishing @netflix  https://t.co/lFBOJZhtE1,deadpoolisback3,1,2021-10-13
"I completed watching @NetflixIndia documentary ""The House of Secrets""  Now I am not able to sleep!   I am feeling way to disturbed and fearful!   #HouseofSecrets #Netflix #Trending #BurariDeaths",anxiouxwoman,1,2021-10-13
Fascinating to see a streaming service that often boasts about its diversity &amp; inclusive hiring practices being pummeled by those very staffers for embracing a comic who mocks those values: #Netflix #DaveChappelle  https://t.co/Fd2Amq2JlN,patrickbigpix,0,2021-10-13
"@netflix hey #netflix I'll take the job from one of your SJW creepers. Business management degree, veteran, and don't care about politics but to increase profits. LOL",gettrgoing,0,2021-10-13
Surprised to see on TV last night that “Child’s Play has a TV series. Tuned in to the first episode Chuckie started doing stand-up comedy. I’m out ✌🏾#TrendingNow #Twitter #Netflix,terancemcleod,0,2021-10-13
Need a secure VPN? Go with the most trusted player in the industry: Nord VPN  Take advantage of their anniversary promotion 👉  https://t.co/b4dM6usiXO  Deal ending soon!  #vpn #subscription #netflix #tor,testdigitalbot,0,2021-10-13
"Love 'Self-Made'? Dive Into The Real, Extraordinary Life Of Madam C.J. Walker  https://t.co/04ecn9HcAA #selfmade #netflix #madamcjwalker",moniqueblognet,1,2021-10-13
