tweet,username,likes_count,date
Halfway through #TheGuilty with Jake Gyllenhaal and his performance is honestly insanely good: wow  https://t.co/Adpj6Vzayi,lad7whisper,1,2021-10-13
"We are live with the fantastic #JakeGyllenhaal and he's talking about #TheGuilty and his relationship with godmother, #JamieLeeCurtis!  https://t.co/E0sxZ7QI6G",siriusxmstars,1,2021-10-13
Me: I watched #TheGuilty for the plot! The plot:  https://t.co/xJnqx4g6oX,irem_trky,0,2021-10-13
Just watched #TheGuilty. Was ok. Not that gripping.   6 on 10.   #MattsoReviews,m4ttso,1,2021-10-13
"Checked out the new Jake Gyllenhaal movie #theguilty last week on #Netflix, then decided to talk about it some. Its on the shorter side, only 1-1/2 hours. Have you seen it yet? Let us know what you thought &amp; if you agree/disagree with anything we said. #roundsoftheknightstable  https://t.co/mJAn8B4xLG",elfboy88,1,2021-10-13
"Have you checked out Netflix’s #TheGuilty yet with Jake Gyllenhaal?  If not, check out my takeaways review to help you make a final decision on whether you should watch or not. #netflixmovies #movieblog #movietwitter #JakeGyllenhaal   https://t.co/GBEYNkZIaH  https://t.co/kdmyuY7hs7",dukereel,0,2021-10-13
#snapchatdown no fear cause we're here tap  https://t.co/XQX9GBX9ZY to download our #movie #review #podcast for #TheGuilty #JakeGyllenhaal #RileyKeough #EthanHawke #PaulDano #BillBurr #DaVineJoyRandolph #EdiPatterson #PeterSarsgaard #DavidCastaneda #ChristinaVidal #AdrianMartinez  https://t.co/XD4voZ46wz,movie_toast,0,2021-10-13
Okay wowwww #TheGuilty on Netflix. Highly recommended. Emotional rollercoaster but what a movie.,realnathanpink,0,2021-10-13
#TheGuilty what the hell? This movie is waaaayyyy too dramatic for its own good.,rimzzzeee,0,2021-10-13
The entire time I was watching the Guilty. #TheGuilty  https://t.co/fl7w0WGQZE,yanga_que,0,2021-10-13
"It's a HUGE day on #TheJessCagleShow!   We have @PennBadgley on @YouNetflix, @jamieleecurtis on @halloweenmovie, and #JakeGyllenhaal on #TheGuilty!   Listen to @MrJessCagle and @juliacunningham on channel 109 LIVE and again at 6pET/3pPT!  https://t.co/FMFtq6P4Tv",siriusxmstars,0,2021-10-13
“Broken people save broken people” #TheGuilty - watch it for @JakeG_Online #Netflix,ddey67,0,2021-10-13
"Adrian &amp; Simon review @Netflix's hit TV series #SquidGame and director Antoine Fuqua's film #TheGuilty, on Episode 67 of Split Focus: A Film &amp; TV Podcast! 🦑   https://t.co/F74l1U3Eh1",split_focus,3,2021-10-13
Here's what the global top 20 looks like today!  #TheGuilty and #SquidGame reign supreme!   https://t.co/rSbVFa1zhC  https://t.co/YLd4xlHiMz,whatonnetflix,16,2021-10-13
"#TheGuilty 🎬 is still trending on #Netflix 🔥 So, is the Jake Gyllenhaal starrer innocent or guilty of being a great movie? @BrittLWriter's verdict is linked below 👇  https://t.co/FVu0ACFb8d",eclecticpop,0,2021-10-13
"THE GUILTY is a compelling albeit frustrating and problematic crime thriller. Jake Gyllenhaal gives an outstanding, staggering performance. But we all had serious issues with the film.  https://t.co/sbIIsHw0u7  #TheGuilty  https://t.co/VBkTHyjQIf",spoilerpiece,0,2021-10-13
"#TheGuilty New Jake Gyllenhaal movie on Netflix, ""The guilty"". One of the worst movies that I've ever endured with a credible lead actor. Just letting you know, but don't take my word for it, if you fancy wasting 90 minutes sometime, by all means go for it.",edwinambrose11,0,2021-10-13
#TheGuilty on Netflix gave me the worst anxiety. #JakeGyllenhaal killed it. Thrill ride.,hurleybuck9009,1,2021-10-13
watching #TheGuilty on @NetflixIndia,zuber28,0,2021-10-13
#happy #humpday #morning before you #wakeandbake #workout #eatbreakfast #drink #coffee or # work tap  https://t.co/XQX9GBX9ZY to download a #movie #review #podcast for #Venom2 #TheManySaintsOfNewark #TheGuilty #Titane #Queenpins #Elvira &amp; more  https://t.co/ZpkLoRek0n,movie_toast,0,2021-10-13
I sincerely recommend watching #TheGuilty on #Netflix. This emotional rollercoaster of a movie was just so brilliantly filmed. I absolutely loved it. The thrill and suspense were special!  FUN FACT: The movie was shot in 11 days and with 1 actor in 1 room.,itsyashiyer,3,2021-10-13
#TheGuilty on @netflix with #JakeGyllenhaal at his absolute best. Horribly stressful movie for me but damn good ! 👏,mrs_nan_cie,0,2021-10-13
7 Movies to Watch if You Liked ‘#TheGuilty’ #ColinFarrell 💚🍀🇮🇪🎬 #PhoneBooth (2002) 🇺🇸📽🎥🎞   https://t.co/iGVdohNtzS,nitboon89,1,2021-10-13
Fck jake gyllenhaal is such a great actor….  #TheGuilty,monikiiia,0,2021-10-13
#TheGuilty gave me chills,mislovm98,0,2021-10-13
#TheGuilty is such a great new part of the discussion around police. Very unrepresented perspectives.,whenstherave,0,2021-10-13
#TheGuilty “snakes in his stomach” WTF  https://t.co/nJJ6FnsizK,ohthats__jayy,0,2021-10-13
Yooooo #TheGuilty  🤯🤯😳 Emily you mf bitch,ohthats__jayy,0,2021-10-13
“snakes in his stomach” completely threw me off…#theguilty #theguiltynetflix  https://t.co/d2irpGirEi,type2_introvert,2,2021-10-13
"#TheGuilty Is one of the best films I've watched in awhile. A man coming to terms w/ his past through a dire situation in the present. Writing, acting, cinematography, score, editing. Everything was near perfect. One of the only films I can say has gotten close to a 10/10",drsandhill,0,2021-10-13
Jake Gyllenhaal deserves all the awards for #TheGuilty 🙌🏻🙌🏻,amberxacula,0,2021-10-13
review of #TheGuilty  https://t.co/NTzH9OUHr8 #theguiltynetflix,paullev,0,2021-10-13
"Binge Report U.S Streaming TV &amp; Movie Charts: The rise of ""Black Widow"" (October 4 - October 10, 2021):  https://t.co/GSvoAbIwb1  #BingeReport #TVTime #BlackWidow #TheGuilty #DaveChappelleTheCloser #SquidGame #OnMyBlock #TheMorningShow #MAIDNetflix #Netflix #DisneyPlus #AppleTV  https://t.co/2YzilPkW1G",streambly,0,2021-10-13
Watching #TheGuilty on #Netflix like -  https://t.co/6wDEFzpOiE,joeypurple,0,2021-10-13
Now Watching: #TheGuilty,shortibynature_,0,2021-10-13
"El Culpable (2021) The Guilty  Ufff   Director: Antoine Fuqua Protagonista: Jake Gyllenhaal, #TheGuilty #JakeGyllenhaal  https://t.co/sELncn0TJ3",chauchinoo,0,2021-10-13
"#TheGuilty is essentially an exact copy of the original 2018 film. I watched the two back-to-back and the only visible differences I found in the story are that fires are questionably added, Asger/Joe has a daughter, the journalist is used again, the baby is alive, and that Asger",gembiscuits,1,2021-10-13
"#TheGuilty on netflix … 👎🏽 it gave me off brand Halle Berry and The Call vibes with a twist, except he never left that building",jaibaii,2,2021-10-13
#TheGuilty was trash!,401sha,0,2021-10-13
Was going to watch #Maid but y'all seem traumatized and stressed by it....so I'll check out #TheGuilty,rimzzzeee,0,2021-10-13
"🤔 #TheGuilty film available now @netflix was ok! Could be better put it more weight to the story but still, was alright with great performance of #JakeGyllenhaal  https://t.co/JPpNsylU3M",filmesrome,0,2021-10-13
Yeah def a waste of a movie.. #TheGuilty 😒😒,3_oh_5,0,2021-10-13
The Guilty  #TheGuilty #theguiltynetflix #JakeGyllenhaal #Netflix  https://t.co/a4BorskPlM,movieushermx,0,2021-10-13
