tweet,username,likes_count,date,sentiment2cat,sentiment3cat
halfway through theguilty with jake gyllenhaal and his performance is honestly insanely good: wow,lad7whisper,1,2021-10-13,pos,pos
"we are live with the fantastic jakegyllenhaal and he is talking about theguilty and his relationship with godmother, jamieleecurtis!",siriusxmstars,1,2021-10-13,pos,pos
me: i watched theguilty for the plot! the plot:,irem_trky,0,2021-10-13,pos,neu
just watched theguilty. was ok. not that gripping.  on . mattsoreviews,m4ttso,1,2021-10-13,pos,neu
"checked out the new jake gyllenhaal movie theguilty last week on netflix, then decided to talk about it some. its on the shorter side, only -/ hours. have you seen it yet? let us know what you thought &amp; if you agree/disagree with anything we said. roundsoftheknightstable",elfboy88,1,2021-10-13,pos,neu
"have you checked out netflix is theguilty yet with jake gyllenhaal? if not, check out my takeaways review to help you make a final decision on whether you should watch or not. netflixmovies movieblog movietwitter jakegyllenhaal",dukereel,0,2021-10-13,pos,pos
snapchatdown no fear cause we're here tap to download our movie review podcast for theguilty jakegyllenhaal rileykeough ethanhawke pauldano billburr davinejoyrandolph edipatterson petersarsgaard davidcastaneda christinavidal adrianmartinez,movie_toast,0,2021-10-13,pos,pos
okay wowwww theguilty on netflix. highly recommended. emotional rollercoaster but what a movie.,realnathanpink,0,2021-10-13,pos,pos
theguilty what the hell? this movie is waaaayyyy too dramatic for its own good.,rimzzzeee,0,2021-10-13,pos,neg
the entire time i was watching the guilty. theguilty,yanga_que,0,2021-10-13,neg,neg
"it is a huge day on thejesscagleshow! we have on , on , and jakegyllenhaal on theguilty! listen to and on channel  live and again at pet/ppt!",siriusxmstars,0,2021-10-13,pos,pos
“broken people save broken people” theguilty - watch it for _online netflix,ddey67,0,2021-10-13,neg,neu
"adrian &amp; simon review is hit tv series squidgame and director antoine fuqua is film theguilty, on episode  of split focus: a film &amp; tv podcast! squid",split_focus,3,2021-10-13,pos,neu
here is what the global top  looks like today! theguilty and squidgame reign supreme!,whatonnetflix,16,2021-10-13,pos,pos
"theguilty clapper is still trending on netflix fire so, is the jake gyllenhaal starrer innocent or guilty of being a great movie? is verdict is linked below point down",eclecticpop,0,2021-10-13,pos,pos
"the guilty is a compelling albeit frustrating and problematic crime thriller. jake gyllenhaal gives an outstanding, staggering performance. but we all had serious issues with the film. theguilty",spoilerpiece,0,2021-10-13,neg,neg
"theguilty new jake gyllenhaal movie on netflix, ""the guilty"". one of the worst movies that i've ever endured with a credible lead actor. just letting you know, but do not take my word for it, if you fancy wasting  minutes sometime, by all means go for it.",edwinambrose11,0,2021-10-13,neg,neg
